name,industry,funding_total_usd,status,country,funding_rounds,founded_year
Aarden Pharmaceuticals,Biotechnology,500000,closed,United States,1,2008
Aardvark,Search,6000000,acquired,United States,2,2007
Aaron Andrews Apparel,Fashion,0,operating,United States,1,2008
Aasonn,Human Resources,20000000,operating,United States,1,2006
aaTag,Social Media,151022,operating,Brazil,2,2010
Aava Mobile,Mobile,4260000,operating,Finland,1,2009
AB Group,Unknown,4845819,operating,United States,1,2010
AB Tasty,Analytics,1412834,operating,France,1,2011
ab&jb properties and services,Real Estate,0,operating,United States,1,2014
ABA English,Education,3356695,operating,Spain,1,2007
Abacast,Analytics,500000,acquired,United States,1,2000
Abacus Labs,Software,3500000,operating,United States,1,2013
Abakan,Clean Technology,4211031,operating,United States,6,2006
Abakus,Advertising Platforms,825000,operating,United States,1,2013
ABARIS Investment Management,Financial Services,0,operating,United States,1,2011
Abattis Bioceuticals,Biotechnology,400988,operating,Canada,3,2011
Abaxia,Software,1770000,acquired,France,1,2001
Abbey House Media,Unknown,600000,operating,United States,1,2006
AbbeyPost,E-Commerce,875000,operating,United States,5,2012
ABBYY Language Services,Business Services,375000,operating,Russian Federation,1,2004
ABC Live,Advertising,25000,closed,India,1,2007
abcdexperts,Social Media,147000,operating,Costa Rica,1,2010
AbCelex Technologies,Biotechnology,2000000,operating,Canada,1,2010
Abcellute,Biotechnology,805908,operating,United Kingdom,1,2001
Abe's Market,E-Commerce,19148000,operating,United States,5,2009
Abeona Therapeutics,Biotechnology,4350000,operating,United States,2,2013
ABFIT Products,Medical,0,operating,United States,1,2010
AbGenomics,Biotechnology,39610000,operating,United States,3,2000
Abide Therapeutics,Biotechnology,2250180,operating,United States,1,2011
Abigail Stewart,Fashion,60000,operating,United States,1,2010
Ability Dynamics,Health Care,1500000,operating,United States,1,2009
ABILITY Network,Health Care,583000000,operating,United States,4,2000
AbilTo,Health Care,9000000,operating,United States,2,2008
Abine,Curated Web,6467283,operating,United States,1,2008
Abingdon Health,Health Care,8140565,operating,United Kingdom,2,2008
Abiogenix,Fitness,0,operating,United States,1,2012
Abionic,Nanotechnology,3986362,operating,Switzerland,1,2010
Abiquo,Virtualization,25560400,operating,United Kingdom,8,2006
Abiquo Group,Cloud Infrastructure,14130737,operating,United States,4,2010
ABL Farms,Sales and Marketing,150000,operating,United States,1,2009
Ablative Solutions,Biotechnology,25930577,operating,United States,5,2011
Able Planet,Hardware + Software,12005448,operating,United States,5,2005
AbleSky,Software,1273000,operating,United States,1,2007
Abloomy,Cloud Computing,3000000,operating,China,1,2008
Ablynx,Biotechnology,98329011,operating,Belgium,3,2001
Abound Solar,Solar,510000000,operating,United States,2,2007
about.me,Identity Management,17087500,operating,United States,3,2013
AboutOne,Curated Web,4139407,operating,United States,5,2010
AboutOurWork,Business Services,0,operating,United States,1,2012
AboutUs.org,Curated Web,7618249,operating,United States,3,2006
Above All Software,Software,2100000,operating,United States,1,2002
ABOVE Solutions,Software,450000,operating,United States,1,2008
ABPathfinder,Health and Wellness,960000,operating,United States,3,2010
Abroad101,Education,50000,operating,United States,1,2007
ABS,Health Care,132500,operating,United States,1,2009
ABS Medical,Medical,0,operating,United States,1,2013
Absio,Software,2757346,operating,United States,3,2009
ABSMaterials,Clean Technology,4250000,operating,United States,2,2008
Absolicon Solar Concentrator,Clean Technology,661000,operating,Sweden,1,2007
Absolute Commerce,Software,200000,operating,United States,1,2012
Absynth Biologics,Biotechnology,1287963,operating,United Kingdom,1,2007
ABT Molecular Imaging,Health Care,28364818,operating,United States,10,2006
Abundance Generation,Finance,4545754,operating,United Kingdom,1,2009
abusix,Software,1300000,operating,Germany,1,2009
Abyz,Curated Web,0,operating,"Korea, Republic of",1,2009
Abzena,Biotechnology,34300806,operating,United Kingdom,1,2002
AC Immune SA,Biotechnology,22009460,operating,Switzerland,1,2003
Acacia,Apps,15000,operating,United States,1,2012
Acacia Communications,Web Hosting,23000000,operating,United States,2,2009
Acacia Interactive,Software,762000,operating,United States,1,2012
Acacia Living,Health and Wellness,2338650,operating,United States,1,2010
Acacia Pharma,Biotechnology,33500000,operating,United Kingdom,2,2006
ACACIA Semiconductor,Semiconductors,368000,operating,Portugal,1,2003
Academia RFID,Consulting,4499999,operating,Canada,1,2005
Academia.edu,Social Media,17800000,operating,United States,4,2008
Academic Earth,Video,0,acquired,United States,1,2008
AcademixDirect,Advertising,10000000,operating,United States,1,2004
AcadiaSoft,Finance,4000000,operating,United States,1,2009
ACAL Energy,Clean Technology,16424363,operating,United Kingdom,3,2004
Acamica,Entrepreneur,131568,operating,Argentina,2,2012
Acarix,Health Care,4710960,operating,Denmark,1,2009
Acccess Technology Solutions,E-Commerce,25478613,operating,United States,1,2002
Accedian Networks,Mobile,31040000,operating,Canada,3,2004
Accedo,Television,1270000,operating,Sweden,1,2004
Accel Diagnostics,Medical Devices,0,operating,United States,2,2012
Accelalox,Biotechnology,430000,operating,United States,1,2005
Accelera Mobile Broadband,Mobile,3033472,operating,United States,1,2009
Accelerate Diagnostics,Medical Devices,63016244,operating,United States,4,2004
Accelerate Mobile Apps,Mobile,150000,operating,United States,1,2009
Accelerated Vision Group,Analytics,8500000,operating,United States,2,2011
Accelerize New Media,Enterprise Software,4045500,operating,United States,3,2005
Acceleron Pharma,Biotechnology,113701127,operating,United States,6,2004
AccelGolf,Finance,457282,closed,United States,7,2008
Accelitec,Software,5705841,operating,United States,3,2001
Accella Learning,Software,0,operating,United States,1,2004
Accellos,Transportation,28500000,operating,United States,2,2006
AccelOps,Cloud Management,25000000,operating,United States,2,2007
Accendo Therapeutics,Health and Wellness,4000000,operating,United States,1,2010
Accent Custom Finishings & Design Center,Retail,0,operating,United States,1,2012
Accentia Biopharmaceuticals Inc,Health and Wellness,775000,operating,United States,2,2002
Accentium Web,Curated Web,2000000,operating,India,1,2007
Accept Software,Career Management,25305000,acquired,United States,4,2002
Acceptd,Software,3020000,operating,United States,3,2011
Accera,Biotechnology,138581610,operating,United States,5,2001
Accertify,Security,7131124,acquired,United States,3,2007
ACCESS Bill Pay Services,Payments,0,operating,United States,1,2014
Access Closure,Health Care,13793098,acquired,United States,3,2002
Access Media 3,Security,30000000,operating,United States,1,2007
Access Mobile,Mobile,352500,operating,United States,2,2010
Access Network,Advertising,3200000,operating,United States,2,2008
Access Point,Brand Marketing,4500000,operating,ROM,1,2008
Access Psychiatry Solutions,Biotechnology,250000,operating,United States,1,2011
Access Scientific,Health Care,21376001,acquired,United States,6,2004
Accessory Addict Society,Unknown,0,operating,United States,1,2012
AccessPay,Finance,0,operating,United Kingdom,1,2012
AccessSportsMedia.com,Sales and Marketing,20000000,operating,United States,2,2003
Accipiter Systems,Analytics,4979639,operating,United States,4,2002
Acclaimd,Recruiting,90000,operating,United States,2,2012
Accolade,Healthcare Services,53744444,operating,United States,4,2007
Accolo,Consulting,0,operating,United States,1,2000
Accompani,3D,20600000,operating,United States,2,2013
Accord Biomaterials,Biotechnology,1200000,operating,United States,1,2008
Accounting SaaS Japan,SaaS,8500000,operating,Japan,2,2009
AccountNow,Finance,34072000,operating,United States,4,2003
Accruit,Software,3315000,operating,United States,1,2000
Accu-Break Pharmaceuticals,Biotechnology,1000000,operating,United States,1,2001
Accudial Pharmaceutical,Biotechnology,12024769,operating,United States,3,2010
Accuhealth Partners,Health and Wellness,760000,operating,United States,1,2011
Accumulate,Mobile Payments,12050000,operating,Sweden,4,2005
AccuNostics,Health Care,6321095,operating,United Kingdom,1,2008
Accupal,Medical,0,operating,United States,1,2008
Accuradio,Internet Radio Market,2500000,operating,United States,1,2001
Accurence,Software,4277507,operating,United States,2,2005
AccurIC,Hardware + Software,329695,operating,United Kingdom,1,2011
AccuSilicon,Semiconductors,0,operating,United States,1,2011
Accuvant,Security,8198838,acquired,United States,4,2002
AccuVein,Hardware + Software,30500000,operating,United States,2,2006
ACE,Medical,1245092,operating,United States,3,2006
ACE Film Productions,Media,0,operating,United States,1,2011
ACE Health,Health Care Information Technology,104594,operating,Ireland,1,2010
Ace Metrix,Advertising,18700000,operating,United States,5,2007
ACE Portal,Marketplaces,75000,operating,United States,1,2010
AcEmpire,Real Estate,0,operating,United Kingdom,1,2014
Acera Surgical,Health Care,600000,operating,United States,1,2013
Aceris 3D Inspection,Semiconductors,4880000,closed,Canada,1,2000
Acertiv,Finance,737630,operating,United States,2,2011
Acesion Pharma,Biotechnology,0,operating,Denmark,2,2011
Acesis,Software,3638201,operating,United States,1,2006
Acetylon Pharmaceuticals,Biotechnology,151250000,operating,United States,6,2008
AchaLa,Advertising,30000,operating,Brazil,1,2009
Achaogen,Health Care,100905707,operating,United States,3,2004
Achates Power,Clean Technology,66500000,operating,United States,3,2004
ACHICA,Travel,13274403,operating,United Kingdom,3,2010
Achieve X,Software,150000,operating,United States,1,2008
Achieve3000,Software,9000000,operating,United States,1,2000
Achieved.co,Human Resources,100000,operating,Netherlands,1,2013
AchieveIt Online,Enterprise Software,3600000,operating,United States,3,2010
AchieveMint,Health Care,0,operating,United States,1,2012
Achronix Semiconductor,Semiconductors,135776263,operating,United States,5,2004
Achvr,Gamification,1250000,operating,United States,1,2011
Acid Labs,Software,0,operating,United States,1,2003
ACKme Networks,Internet of Things,1400000,operating,United States,1,2013
aCommerce,E-Commerce,13800000,operating,Thailand,2,2013
Acomni,Networking,0,operating,United States,1,2012
Acompli,Android,7300000,acquired,United States,1,2013
aCon,Hardware + Software,1998000,operating,Denmark,3,2003
Aconite Technology,Software,592000,operating,United Kingdom,1,2000
Acopia Networks,Software,20000000,acquired,United States,1,2002
Acorio,Enterprise Software,0,operating,United States,1,2012
Acorns,Apps,8960000,operating,United States,3,2012
Acoustic Sensing Technology,Clean Technology,976865,operating,United Kingdom,1,2012
Acousticeye,Clean Technology,15000000,operating,United States,4,2006
Acqua Innovations,Manufacturing,0,operating,United States,1,2013
Acqua Telecom Ltd,Networking,808211,operating,United Kingdom,1,2013
Acquaintable,Curated Web,40000,acquired,United States,1,2012
Acquia,Enterprise Software,118500000,operating,United States,7,2007
Acquisio,Advertising Platforms,12100000,operating,Canada,3,2003
Acreations Reptiles and Exotics,Unknown,3000,operating,United States,1,2011
Acrisure,Finance,20000000,operating,United States,1,2006
Acrolinx,Software,0,operating,Germany,1,2002
Acronis,Flash Storage,11000000,operating,Singapore,1,2002
Across America Financial Services,Finance,20292075,operating,United States,1,2005
Acsendo,Enterprise Software,150000,operating,Colombia,1,2008
ACT Biotech,Biotechnology,26980000,operating,United States,6,2008
Act-On Software,Marketing Automation,72500000,operating,United States,5,2008
ActBlue,Clean Technology,22123893,operating,United States,1,2004
Acteavo,Travel & Tourism,116987,operating,Ireland,3,2013
Acticut International,Manufacturing,0,operating,United States,1,2005
Actifi,Consulting,137500,operating,United States,1,2003
Actifio,Enterprise Software,207500000,operating,United States,5,2009
Actimagine,Software,3759300,operating,France,1,2003
